pickup_number,room_identifier,simple_name,specifier,region,SchwartzGandhi's names
78,708,High Mind Up,_c,Underground Reservoir,Cavern Air Bell
79,709,Pudding,,Underground Reservoir,Secret Storage Cavern
80,70C,Mana Prism,_b,Underground Reservoir,Cavern Attic
81,70E,Super Potion,_a,Underground Reservoir,Aqueducts
82,70F,Super Potion,_b,Underground Reservoir,Behind the Waterfall
83,711,Milican's Sword,,Underground Reservoir,Boating Course
84,715,Armor of Water,,Underground Reservoir,Watering Holes
85,716,Galamoth,,Underground Reservoir,Cemetery Eastern Crypt
86,718,Ronginus' Spear,,Underground Reservoir,Waterfall Aerie
87,719,"$1,000",_d,Underground Reservoir,Boat Jump Alcove
88,719,Handgun,,Underground Reservoir,Boat Jump Cache
89,71C,Ancient Book 3,,Underground Reservoir,Eastern Reservoir Vertical Cavern
90,71D,"$2,000",_b,Underground Reservoir,Eastern Reservoir
91,71F,Rune Ring,,Underground Reservoir,Eastern Reservoir Right Cavern
92,720,Osafune,,Underground Reservoir,Eastern Reservoir Secret Room
93,721,Super Potion,_c,Underground Reservoir,Waterfall Crest
94,721,Eversing,,Underground Reservoir,Waterfall Basin
95,722,"$2,000",_c,Underground Reservoir,Cemetery Western Ambulatory
96,733,High Potion,_d,Underground Reservoir,Cemetery Central Crypt
97,736,Gold Ring,,Underground Reservoir,Cemetery Eastern Ambulatory
98,800,Giant Bat,,The Arena,Catacomb Depths
99,802,Laevatain,,The Arena,Giant Armory
100,808,Black Cloak,,The Arena,Lavatory
101,80F,Olrox's Suit,,The Arena,Wrecking Ball Trial Reward
102,810,Silver Handgun,,The Arena,Conyeror Belt Trial Reward Hard Mode Item
103,810,Balmung,,The Arena,Conyeror Belt Trial Reward On Altar
104,811,Rare Ring,,The Arena,Simon Says Trial Reward
105,812,High Potion,_e,The Arena,Iron Maiden Altar
106,900,Dracula's Tunic,,Top Floor,Balcony Item by Railing
107,900,Black Panther,,Top Floor,Balcony Center Item
108,901,Mana Prism,_c,Top Floor,Final Staircase Under the Stairs
109,901,Tear of Blood,,Top Floor,Final Staircase Hard Mode Item
110,902,Gungner,,Top Floor,Secret Ceiling Room
111,906,Hippogryph,,Top Floor,Secret Grave
112,908,Satan's Ring,,Top Floor,Flaming Hall
113,910,Mana Prism,_d,Top Floor,Outlook
114,915,Super Potion,_d,Top Floor,Dragon Statue
115,917,Kaladbolg,,Top Floor,Courtyard
116,A04,Claimh Solais,,Forbidden Area,Secret Room by the Inferno
117,A06,Joyeuse,,Forbidden Area,Treasure Chamber
118,B18,Super Potion,_e,Chaotic Realm,Marble Annex
119,B1C,High Mind Up,_d,Chaotic Realm,Chair Room
120,B1D,Mana Prism,_e,Chaotic Realm,Hammer's Room
