item_number,item_category,id,name,breaks_ceilings,breaks_floors
104,armor,13,Silver Plate,FALSE,FALSE
105,armor,14,Gold Plate,FALSE,FALSE
106,armor,15,Eversing,FALSE,FALSE
107,armor,16,Samurai Armor,FALSE,FALSE
108,armor,17,Silk Robe,FALSE,FALSE
109,armor,18,Elfin Robe,FALSE,FALSE
110,armor,19,Death's Robe,FALSE,FALSE
111,armor,20,Demon's Mail,FALSE,FALSE
112,armor,21,Armor of Fire,FALSE,FALSE
113,armor,22,Armor of Water,FALSE,FALSE
114,armor,23,Blocking Mail,FALSE,FALSE
115,armor,24,Army Jacket,FALSE,FALSE
116,accessory,0,Cape,FALSE,FALSE
117,accessory,1,Crimson Cloak,FALSE,FALSE
118,accessory,2,Black Cloak,FALSE,FALSE
119,accessory,3,Pendant,FALSE,FALSE
120,accessory,4,Heart Pendant,FALSE,FALSE
121,accessory,5,Scarf,FALSE,FALSE
122,accessory,6,Red Scarf,FALSE,FALSE
123,accessory,7,Ancient Belt,FALSE,FALSE
124,accessory,8,Black Belt,FALSE,FALSE
125,accessory,9,Skull Necklace,FALSE,FALSE
126,accessory,10,Flame Necklace,FALSE,FALSE
127,accessory,11,Satan's Ring,FALSE,FALSE
128,accessory,12,Tear of Blood,FALSE,FALSE
129,accessory,13,Lucky Charm,FALSE,FALSE
130,accessory,14,Rare Ring,FALSE,FALSE
131,accessory,15,Soul Eater Ring,FALSE,FALSE
132,accessory,16,Rune Ring,FALSE,FALSE
133,accessory,17,Sherman Ring,FALSE,FALSE
134,accessory,18,Gold Ring,FALSE,FALSE
135,accessory,19,Chaos Ring,FALSE,FALSE
136,red_soul,0,Winged Skeleton,,
137,red_soul,1,Bat,,
138,red_soul,2,Skeleton,,
139,red_soul,3,Merman,,
140,red_soul,4,Axe Armor,,
141,red_soul,5,Skull Archer,,
142,red_soul,6,Killer Fish,,
143,red_soul,7,Blue Crow,,
144,red_soul,8,Zombie Soldier,,
145,red_soul,9,Ghost,,
146,red_soul,10,Siren,,
147,red_soul,11,Tiny Devil,,
148,red_soul,12,Durga,,
149,red_soul,13,Rock Armor,,
150,red_soul,14,Student Witch,,
151,red_soul,15,Arachne,,
152,red_soul,16,Fleaman,,
153,red_soul,17,Evil Butcher,,
154,red_soul,18,Waiter Skeleton,,
155,red_soul,19,Altair,,
156,red_soul,20,Mudman,,
157,red_soul,21,Cockatrice,,
158,red_soul,22,Werewolf,,
159,red_soul,23,Harpy,,
160,red_soul,24,Une,,
161,red_soul,25,Needles,,
162,red_soul,26,Man-Eater,,
163,red_soul,27,Ukoback,,
164,red_soul,28,Fish Head,,
165,red_soul,29,Disc Armor,,
166,red_soul,30,Nightmare,,
167,red_soul,31,Slime,,
168,red_soul,32,Dryad,,
169,red_soul,33,Ripper,,
170,red_soul,34,Werejaguar,,
171,red_soul,35,Weretiger,,
172,red_soul,36,Biphron,,
173,red_soul,37,Mandragora,,
174,red_soul,38,Beam Skeleton,,
175,red_soul,39,Skull Millione,,
176,red_soul,40,Giant Skeleton,,
177,red_soul,41,Gladiator,,
178,red_soul,42,Demon Lord,,
179,red_soul,43,Flame Demon,,
180,red_soul,44,Lightning Doll,,
181,red_soul,45,Valkyrie,,
182,red_soul,46,Bomber Armor,,
183,red_soul,47,Red Minotaur,,
184,red_soul,48,Legion,,
185,red_soul,49,Balore,,
186,red_soul,50,Killer Doll,,
187,red_soul,51,Nemesis,,
188,red_soul,52,Killer Mantle,,
189,red_soul,53,Kyoma Demon,,
190,red_soul,54,Chronomage,,
191,red_soul,55,Cagnazzo,,
192,blue_soul,0,Flying Armor,FALSE,FALSE
193,blue_soul,1,Giant Bat,FALSE,FALSE
194,blue_soul,2,Black Panther,TRUE,TRUE
195,blue_soul,3,Buer,,
196,blue_soul,4,Witch,,
197,blue_soul,5,Giant Ghost,,
198,blue_soul,6,Final Guard,,
199,blue_soul,7,Great Armor,,
200,blue_soul,8,Catoblepas,,
201,blue_soul,9,Bone Pillar,,
202,blue_soul,10,Cagnazzo,,
203,blue_soul,11,Big Golem,,
204,blue_soul,12,Shadow Knight,,
205,blue_soul,13,Creaking Skull,,
206,blue_soul,14,Medusa Head,,
207,blue_soul,15,Persephone,,
208,blue_soul,16,Alura Une,,
209,blue_soul,17,Devil,,
210,blue_soul,18,Manticore,,
211,blue_soul,19,Curly,,
212,blue_soul,20,Sky Fish,,
213,blue_soul,21,Imp,,
214,blue_soul,22,Alastor,,
215,blue_soul,23,Death,,
216,yellow_soul,0,Undine,FALSE,FALSE
217,yellow_soul,1,Skula,FALSE,FALSE
218,yellow_soul,2,Zombie Officer,FALSE,FALSE
219,yellow_soul,3,Iron Golem,FALSE,FALSE
220,yellow_soul,4,Dead Warrior,FALSE,FALSE
221,yellow_soul,5,Peeping Eye,FALSE,FALSE
222,yellow_soul,6,Succubus,FALSE,FALSE
223,yellow_soul,7,Flesh Golem,FALSE,FALSE
224,yellow_soul,8,Tsuchinoko,FALSE,FALSE
225,yellow_soul,9,Giant Worm,FALSE,FALSE
226,yellow_soul,10,Wooden Golem,FALSE,FALSE
227,yellow_soul,11,Zombie,FALSE,FALSE
228,yellow_soul,12,Lubicant,FALSE,FALSE
229,yellow_soul,13,Headhunter,FALSE,FALSE
230,yellow_soul,14,Basilisk,FALSE,FALSE
231,yellow_soul,15,Erinys,FALSE,FALSE
232,yellow_soul,16,Mimic,FALSE,FALSE
233,yellow_soul,17,Arc Demon,FALSE,FALSE
234,yellow_soul,18,Poison Worm,FALSE,FALSE
235,yellow_soul,19,Ectoplasm,FALSE,FALSE
236,yellow_soul,20,Gargoyle,FALSE,FALSE
237,yellow_soul,21,Skeleton Knight,FALSE,FALSE
238,yellow_soul,22,Minotaur,FALSE,FALSE
239,yellow_soul,23,Golem,FALSE,FALSE
240,yellow_soul,24,Triton,FALSE,FALSE
241,yellow_soul,25,White Dragon,FALSE,FALSE
242,yellow_soul,26,Quezlcoatl,FALSE,FALSE
243,yellow_soul,27,Gorgon,FALSE,FALSE
244,yellow_soul,28,Dead Crusader,FALSE,FALSE
245,yellow_soul,29,Red Crow,FALSE,FALSE
246,yellow_soul,30,Lilith,FALSE,FALSE
247,yellow_soul,31,Bael,FALSE,FALSE
248,yellow_soul,32,Stolas,FALSE,FALSE
249,yellow_soul,33,Ghost Dancer,FALSE,FALSE
250,yellow_soul,34,Gremlin,FALSE,FALSE
251,ability_soul,0,Grave Keeper,FALSE,FALSE
252,ability_soul,1,Skeleton Blaze,FALSE,FALSE
253,ability_soul,2,Malphas,FALSE,FALSE
254,ability_soul,3,Kicker Skeleton,FALSE,FALSE
255,ability_soul,4,Hippogryph,FALSE,FALSE
256,ability_soul,5,Galamoth,FALSE,FALSE
